basic_tfactortx_id;basic_gene_symbol;basic_ensembl_gene_id;basic_hgnc_id;basic_ncbi_gene_id;basic_protein_name;basic_uniprot_id;basic_jaspar_url;basic_open_targets_url;basic_tf_superclass;basic_tf_class;basic_tf_family;sort_disease_ot_ard_aging_sum_rank;sort_disease_ot_ard_aging_overall_rank;sort_disease_ot_total_assoc_score_rank;sort_disease_ot_ard_total_assoc_count_score_rank;sort_aging_summary_total_db_entries_count_rank;sort_dev_summary_dev_level_category;disease_ot_total_assoc_count;disease_ot_total_assoc_score;disease_ot_total_assoc_count_norm;disease_ot_total_assoc_score_norm;disease_ot_lowconf_count;disease_ot_lowconf_score;disease_ot_lowconf_count_norm;disease_ot_lowconf_score_norm;disease_ot_modconf_count;disease_ot_modconf_score;disease_ot_modconf_count_norm;disease_ot_modconf_score_norm;disease_ot_hiconf_count;disease_ot_hiconf_score;disease_ot_hiconf_count_norm;disease_ot_hiconf_score_norm;disease_ot_ard_disease_count;disease_ot_ard_total_score;disease_ot_ard_disease_count_norm;disease_ot_ard_total_score_norm;disease_ot_ard_strongest_linked_disease;disease_age-related hearing impairment;disease_age-related macular degeneration;disease_Alzheimer disease;disease_atherosclerosis;disease_benign prostatic hyperplasia;disease_cancer;disease_chronic obstructive pulmonary disease;disease_heart failure;disease_Ischemic stroke;disease_myocardial infarction;disease_non-alcoholic fatty liver disease;disease_osteoarthritis;disease_Osteoporosis;disease_Parkinson disease;disease_sarcopenia;disease_type 2 diabetes mellitus;aging_summary_total_db_entries_count;aging_summary_total_db_entries_count_norm;aging_summary_human;aging_summary_mm_influence;aging_summary_ce_influence;aging_summary_dm_influence;aging_PMID35343830_ce;aging_PMID35343830_dm;aging_PMID35343830_mm;aging_PMID35343830_human;aging_hagr_genage_human_inclusion;aging_hagr_genage_ce_influence;aging_hagr_genage_dm_influence;aging_hagr_genage_mm_influence;aging_hagr_cellage_effect;aging_hagr_longevitymap_entries;aging_agingreg_human_influence;aging_senequest_total_entries;aging_opengenes_ce_influence;aging_opengenes_dm_influence;aging_opengenes_mm_influence;aging_opengenes_human_longevity_assoc;dev_summary_total_db_entries_count;dev_summary_dev_level_category;dev_summary_dev_level_category_note;dev_pharos_tcrd_tdl;dev_dgidb_all_drugs;dev_dgidb_MOA_drugs;dev_ttd_approved_drugs;dev_chembl_target_id;dev_chembl_target_name;dev_chembl_target_type;dev_chembl_compounds;dev_chembl_activites;dev_chembl_drug_count;dev_chembl_max_phase;dev_chembl_modality_list;dev_chembl_first_approval_min
TFTX_0477;L3MBTL1;ENSG00000185513;HGNC:15905;26013;Lethal(3)malignant brain tumor-like protein 1 (H-l(3)mbt) (H-l(3)mbt protein) (L(3)mbt-like) (L(3)mbt protein homolog) (L3MBTL1);Q9Y468;#N/A;https://platform.opentargets.org/target/ENSG00000185513;2 Zinc-coordinating DNA-binding domains;2.7 C2HC;2.7.4 L3MBTL2;1704;562;923;343;438;4_Low;52;3.84;0.02;0.01;45;1.86;0.02;0.03;7;1.97;0.01;0.01;#N/A;#N/A;#N/A;#N/A;2;0.33;0.13;0.08;Type 2 Diabetes Mellitus;#N/A;#N/A;#N/A;#N/A;#N/A;0.007533565;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.31865729;1;0.07;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;#N/A;#N/A;#N/A;#N/A;2;4_Low;Possibly targetable with +/- conflicting evidence across databases (e.g. Pharos TDL at least Tchem and/or DGIDB ALL >0) but no indication of drugs with known MOA.;Tchem;55;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_1066;ZC3H8;ENSG00000144161;HGNC:30941;84524;Zinc finger CCCH domain-containing protein 8;Q8N5P1;#N/A;https://platform.opentargets.org/target/ENSG00000144161;2 Zinc-coordinating DNA-binding domains;2.8 C3H zinc finger factors;2.8.1 ZC3H9;2215;799;924;123;1168;5_None;56;3.82;0.02;0.01;50;1.39;0.02;0.02;5;1.88;0.01;0.01;1;0.55;0.01;0.01;3;0.75;0.19;0.19;Alzheimer Disease;#N/A;#N/A;0.369579855;#N/A;#N/A;0.006098068;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.369579855;#N/A;#N/A;0;0;N;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_1142;ZNF155;ENSG00000204920;HGNC:12940;7711;Zinc finger protein 155;Q12901;#N/A;https://platform.opentargets.org/target/ENSG00000204920;2 Zinc-coordinating DNA-binding domains;2.3 C2H2 zinc finger factors;2.3.3 More than 3 adjacent zinc fingers;2832;1105;925;1469;438;5_None;24;3.79;0.01;0.01;20;2.87;0.01;0.04;4;0.92;0.01;0.01;#N/A;#N/A;#N/A;#N/A;0;0;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;0.07;N;#N/A;#N/A;Unclear;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Unclear;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tdark;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_1234;ZNF316;ENSG00000205903;HGNC:13843;100131017;Zinc finger protein 316;A6NFI3;#N/A;https://platform.opentargets.org/target/ENSG00000205903;2 Zinc-coordinating DNA-binding domains;2.3 C2H2 zinc finger factors;2.3.4 Factors with multiple dispersed zinc fingers;2833;1106;926;1469;438;5_None;18;3.79;0.01;0.01;10;0.69;0;0.01;6;2.04;0.01;0.01;2;1.05;0.02;0.02;0;0;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;0.07;N;#N/A;#N/A;Anti-Longevity;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Anti-Longevity;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tdark;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0194;ELF5;ENSG00000135374;HGNC:3320;2001;ETS-related transcription factor Elf-5 (E74-like factor 5) (Epithelium-restricted ESE-1-related Ets factor) (Epithelium-specific Ets transcription factor 2) (ESE-2);Q9UKW6;https://jaspar.elixir.no/search?q=Q9UKW6;https://platform.opentargets.org/target/ENSG00000135374;3 Helix-turn-helix domains;3.5 Tryptophan cluster factors;3.5.2 Ets-related;2024;702;927;659;438;3_Medium to Low;108;3.76;0.03;0.01;102;1.57;0.04;0.02;5;1.68;0.01;0.01;1;0.5;0.01;0.01;4;0.1;0.25;0.03;Cancer;#N/A;#N/A;0.007391597;#N/A;#N/A;0.076894508;0.005174118;#N/A;#N/A;0.013489665;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;0.07;N;#N/A;Unclear;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Unclear;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;3;3_Medium to Low;"DGIDB indicates drugs with known MOA but a ""Medium"" development level (drugs in or en route to the clinic) not supported by the other databases (at most Tbio and no further information).";Tbio;1;1;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_1550;ZNF774;ENSG00000196391;HGNC:33108;342132;Zinc finger protein 774;Q6NX45;#N/A;https://platform.opentargets.org/target/ENSG00000196391;2 Zinc-coordinating DNA-binding domains;2.3 C2H2 zinc finger factors;2.3.3 More than 3 adjacent zinc fingers;2872;1135;928;776;1168;5_None;28;3.76;0.01;0.01;20;1.07;0.01;0.01;8;2.68;0.02;0.02;#N/A;#N/A;#N/A;#N/A;2;0.07;0.13;#N/A;Atherosclerosis;#N/A;#N/A;#N/A;0.068377104;#N/A;0.004619748;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0;0;N;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tdark;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_1479;ZNF678;ENSG00000181450;HGNC:28652;339500;Zinc finger protein 678;Q5SXM1;#N/A;https://platform.opentargets.org/target/ENSG00000181450;2 Zinc-coordinating DNA-binding domains;2.3 C2H2 zinc finger factors;2.3.0 Uncharacterized/Undefined;2307;845;929;1196;182;5_None;57;3.75;0.02;0.01;52;2.39;0.02;0.03;5;1.36;0.01;0.01;#N/A;#N/A;#N/A;#N/A;2;0.01;0.13;0;Chronic Obstructive Pulmonary Disease;#N/A;#N/A;#N/A;#N/A;#N/A;0.001478319;0.008869917;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;2;0.13;Y;#N/A;#N/A;Anti-Longevity;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Anti-Longevity;#N/A;#N/A;#N/A;#N/A;2;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tdark;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0029;ARID5A;ENSG00000196843;HGNC:17361;10865;AT-rich interactive domain-containing protein 5A (ARID domain-containing protein 5A) (Modulator recognition factor 1) (MRF-1);Q03989;#N/A;https://platform.opentargets.org/target/ENSG00000196843;3 Helix-turn-helix domains;3.7 ARID;3.7.1 ARID-related;2268;827;930;900;438;5_None;89;3.73;0.03;0.01;82;1.59;0.03;0.02;7;2.14;0.01;0.01;#N/A;#N/A;#N/A;#N/A;3;0.05;0.19;0.01;Cancer;#N/A;#N/A;0.004250168;#N/A;#N/A;0.039824002;#N/A;0.001478319;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;0.07;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;3;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0107;CGGBP1;ENSG00000163320;HGNC:1888;8545;CGG triplet repeat-binding protein 1 (CGG-binding protein 1) (20 kDa CGG-binding protein) (p20-CGGBP DNA-binding protein);Q9UFW8;#N/A;https://platform.opentargets.org/target/ENSG00000163320;0 Yet undefined DNA-binding domains;0.0 Uncharacterized;0.0.0 Uncharacterized/Undefined;1769;591;931;656;182;5_None;61;3.7;0.02;0.01;59;2.97;0.02;0.04;2;0.73;0;0;#N/A;#N/A;#N/A;#N/A;2;0.1;0.13;0.03;Type 2 Diabetes Mellitus;#N/A;#N/A;#N/A;#N/A;#N/A;0.027449498;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.076464141;2;0.13;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Pro-Longevity;2;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0979;TLX2;ENSG00000115297;HGNC:5057;3196;T-cell leukemia homeobox protein 2 (Homeobox protein Hox-11L1) (Neural crest homeobox protein);O43763;https://jaspar.elixir.no/search?q=O43763;https://platform.opentargets.org/target/ENSG00000115297;3 Helix-turn-helix domains;3.1 Homeo domain factors;3.1.2 NK;2592;983;932;492;1168;3_Medium to Low;223;3.69;0.07;0.01;223;3.69;0.09;0.05;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;8;0.18;0.5;0.04;Cancer;#N/A;#N/A;0.031856223;#N/A;#N/A;0.072868853;0.002217479;0.017666559;0.011087396;0.018840465;#N/A;#N/A;#N/A;0.010395871;#N/A;0.011880555;0;0;N;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;3;3_Medium to Low;"DGIDB indicates drugs with known MOA but a ""Medium"" development level (drugs in or en route to the clinic) not supported by the other databases (at most Tbio and no further information).";Tbio;2;2;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_1020;ZBED3;ENSG00000132846;HGNC:20711;84327;Zinc finger BED domain-containing protein 3 (Axin-interacting protein);Q96IU2;#N/A;https://platform.opentargets.org/target/ENSG00000132846;2 Zinc-coordinating DNA-binding domains;2.3 C2H2 zinc finger factors;2.3.5 BED zinc finger factors;1692;554;933;321;438;5_None;70;3.68;0.02;0.01;63;1.69;0.02;0.02;6;1.48;0.01;0.01;1;0.51;0.01;0.01;4;0.36;0.25;0.09;Type 2 Diabetes Mellitus;#N/A;#N/A;#N/A;#N/A;#N/A;0.064139298;#N/A;#N/A;#N/A;#N/A;0.036218826;0.002217479;#N/A;#N/A;#N/A;0.253558967;1;0.07;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;2;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0453;KCNIP3;ENSG00000115041;HGNC:15523;30818;Calsenilin (A-type potassium channel modulatory protein 3) (DRE-antagonist modulator) (DREAM) (Kv channel-interacting protein 3) (KChIP3);Q9Y2W7;#N/A;https://platform.opentargets.org/target/ENSG00000115041;0 Yet undefined DNA-binding domains;0.0 Uncharacterized;0.0.0 Uncharacterized/Undefined;1927;658;934;555;438;5_None;174;3.65;0.06;0.01;174;3.65;0.07;0.05;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;9;0.14;0.56;0.04;Cancer;#N/A;#N/A;0.036201152;#N/A;#N/A;0.06934649;0.001478319;#N/A;0.014044034;0.002217479;0.002217479;0.004434958;#N/A;0.008664594;#N/A;0.003695799;1;0.07;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;2;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_1316;ZNF45;ENSG00000124459;HGNC:13111;7596;Zinc finger protein 45 (BRC1744) (Zinc finger protein 13) (Zinc finger protein KOX5);Q02386;#N/A;https://platform.opentargets.org/target/ENSG00000124459;2 Zinc-coordinating DNA-binding domains;2.3 C2H2 zinc finger factors;2.3.3 More than 3 adjacent zinc fingers;2842;1119;935;1469;438;5_None;34;3.64;0.01;0.01;31;2.92;0.01;0.04;3;0.73;0.01;0;#N/A;#N/A;#N/A;#N/A;0;0;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;0.07;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tdark;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0329;GZF1;ENSG00000125812;HGNC:15808;64412;GDNF-inducible zinc finger protein 1 (Zinc finger and BTB domain-containing protein 23) (Zinc finger protein 336);Q9H116;#N/A;https://platform.opentargets.org/target/ENSG00000125812;2 Zinc-coordinating DNA-binding domains;2.3 C2H2 zinc finger factors;2.3.3 More than 3 adjacent zinc fingers;3394;1432;936;1290;1168;5_None;88;3.64;0.03;0.01;86;2.4;0.03;0.03;#N/A;#N/A;#N/A;#N/A;2;1.24;0.02;0.02;2;0.01;0.13;0;Alzheimer Disease;#N/A;#N/A;0.003720074;#N/A;#N/A;0.002217479;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0;0;N;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0348;HIC2;ENSG00000169635;HGNC:18595;23119;Hypermethylated in cancer 2 protein (Hic-2) (HIC1-related gene on chromosome 22 protein) (Hic-3) (Zinc finger and BTB domain-containing protein 30);Q96JB3;https://jaspar.elixir.no/search?q=Q96JB3;https://platform.opentargets.org/target/ENSG00000169635;2 Zinc-coordinating DNA-binding domains;2.3 C2H2 zinc finger factors;2.3.4 Factors with multiple dispersed zinc fingers;2548;963;937;1173;438;5_None;75;3.61;0.02;0.01;70;2.27;0.03;0.03;4;0.83;0.01;0.01;1;0.51;0.01;0.01;3;0.01;0.19;0;Cancer;#N/A;#N/A;0.001817535;#N/A;0.004434958;0.005305113;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;0.07;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;2;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0265;FOXJ2;ENSG00000065970;HGNC:24818;55810;Forkhead box protein J2 (Fork head homologous X);Q9P0K8;https://jaspar.elixir.no/search?q=Q9P0K8;https://platform.opentargets.org/target/ENSG00000065970;3 Helix-turn-helix domains;3.3 Fork head / winged helix factors;3.3.1 FOX;2316;849;938;940;438;5_None;77;3.58;0.02;0.01;72;2.2;0.03;0.03;5;1.39;0.01;0.01;#N/A;#N/A;#N/A;#N/A;5;0.04;0.31;0.01;Cancer;#N/A;#N/A;0.001478319;0.013304875;#N/A;0.016833874;#N/A;#N/A;0.004434958;#N/A;#N/A;#N/A;#N/A;#N/A;0.001478319;#N/A;1;0.07;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;3;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0870;SP5;ENSG00000204335;HGNC:14529;389058;Transcription factor Sp5;Q6BEB4;https://jaspar.elixir.no/search?q=Q6BEB4;https://platform.opentargets.org/target/ENSG00000204335;2 Zinc-coordinating DNA-binding domains;2.3 C2H2 zinc finger factors;2.3.1 Three-zinc finger Krüppel-related;2151;764;939;1129;83;5_None;84;3.58;0.03;0.01;82;2.86;0.03;0.04;2;0.72;0;0;#N/A;#N/A;#N/A;#N/A;2;0.01;0.13;0;Cancer;#N/A;#N/A;#N/A;#N/A;#N/A;0.013324037;0.001478319;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;3;0.2;Y;#N/A;Pro-Longevity;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;Pro-Longevity;#N/A;#N/A;#N/A;1;#N/A;1;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tdark;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0967;THAP9;ENSG00000168152;HGNC:23192;79725;DNA transposase THAP9 (EC 2.7.7.-) (THAP domain-containing protein 9) (hTh9);Q9H5L6;#N/A;https://platform.opentargets.org/target/ENSG00000168152;2 Zinc-coordinating DNA-binding domains;2.9 C2CH THAP-type zinc finger factors;2.9.1 THAP;2820;1100;940;712;1168;5_None;74;3.55;0.02;0.01;70;2.44;0.03;0.03;4;1.11;0.01;0.01;#N/A;#N/A;#N/A;#N/A;3;0.09;0.19;0.02;Cancer;#N/A;#N/A;0.002956639;#N/A;#N/A;0.08376578;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.002956639;#N/A;#N/A;0;0;N;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0313;GMEB2;ENSG00000101216;HGNC:4371;26205;Glucocorticoid modulatory element-binding protein 2 (GMEB-2) (DNA-binding protein p79PIF) (Parvovirus initiation factor p79) (PIF p79);Q9UKD1;https://jaspar.elixir.no/search?q=Q9UKD1;https://platform.opentargets.org/target/ENSG00000101216;5 alpha-Helices exposed by beta-structures;5.3 SAND domain factors;5.3.3 GMEB;1855;625;941;476;438;5_None;35;3.55;0.01;0.01;31;2.34;0.01;0.03;3;0.71;0.01;0;1;0.5;0.01;0.01;1;0.19;0.06;#N/A;Cancer;#N/A;#N/A;#N/A;#N/A;#N/A;0.186097059;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;0.07;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tdark;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_1634;ZSCAN5;ENSG00000131848;HGNC:23710;79149;Zinc finger and SCAN domain-containing protein 5A (Zinc finger protein 495);Q9BUG6;#N/A;https://platform.opentargets.org/target/ENSG00000131848;2 Zinc-coordinating DNA-binding domains;2.3 C2H2 zinc finger factors;2.3.3 More than 3 adjacent zinc fingers;3363;1423;942;1253;1168;5_None;55;3.51;0.02;0.01;51;2.23;0.02;0.03;4;1.29;0.01;0.01;#N/A;#N/A;#N/A;#N/A;1;0.01;0.06;#N/A;Cancer;#N/A;#N/A;#N/A;#N/A;#N/A;0.007391597;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0;0;N;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_1516;ZNF716;ENSG00000182111;HGNC:32458;441234;Zinc finger protein 716;A6NP11;#N/A;https://platform.opentargets.org/target/ENSG00000182111;2 Zinc-coordinating DNA-binding domains;2.3 C2H2 zinc finger factors;2.3.0 Uncharacterized/Undefined;2684;1036;943;573;1168;5_None;40;3.51;0.01;0.01;35;1.85;0.01;0.03;5;1.66;0.01;0.01;#N/A;#N/A;#N/A;#N/A;1;0.13;0.06;0.03;Type 2 Diabetes Mellitus;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0.134891355;0;0;N;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tdark;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
TFTX_0440;IRX6;ENSG00000159387;HGNC:14675;79190;Iroquois-class homeodomain protein IRX-6 (Homeodomain protein IRXB3) (Iroquois homeobox protein 6);P78412;#N/A;https://platform.opentargets.org/target/ENSG00000159387;3 Helix-turn-helix domains;3.1 Homeo domain factors;3.1.4 TALE-type HD;2648;1016;944;1266;438;5_None;58;3.5;0.02;0.01;51;1.67;0.02;0.02;7;1.83;0.01;0.01;#N/A;#N/A;#N/A;#N/A;3;0.01;0.19;0;Cancer;#N/A;#N/A;#N/A;#N/A;#N/A;0.004229636;0.001478319;0.001478319;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;0.07;Y;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1;#N/A;#N/A;#N/A;#N/A;1;5_None;Pharos TDL at most Tbio and no other database indicates available drugs, with or without known MOA.;Tbio;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
