Gene Name;Overall Rank;All Diseases Rank;ARDs Rank;Strongest Linked ARD;Aging Rank;Human Link Y/N;M. musculus Link;C. elegans Link;D. melanogaster Link;Development Level;Pharos TDL
ZNF207;297;805;72;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
GFI1;298;327;305;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
NR4A1;299;483;154;Cancer;407;Yes;None;None;None;Low;Tchem
ZFP64;300;362;277;Type 2 Diabetes Mellitus;127;Yes;None;None;None;None;Tbio
ZNF629;300;797;98;Parkinson Disease;407;Yes;None;None;Anti-Longevity;None;Tdark
NR4A3;302;188;456;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Low;Tchem
HBP1;303;589;449;Type 2 Diabetes Mellitus;62;Yes;None;None;None;None;Tbio
TFAM;304;667;342;Chronic Obstructive Pulmonary Disease;62;Yes;Unclear;None;None;None;Tbio
PITX1;304;146;508;Type 2 Diabetes Mellitus;1161;Yes;None;None;None;None;Tbio
CDX2;306;209;446;Cancer;407;Yes;None;None;None;Low;Tbio
PATZ1;307;186;825;Cancer;127;Yes;None;None;None;None;Tbio
ATF5;308;820;97;Alzheimer Disease;127;Yes;None;Anti-Longevity;None;Low;Tbio
SP6;308;245;672;Cancer;127;Yes;None;Pro-Longevity;None;None;Tbio
TERF1;310;631;419;Cancer;34;Yes;None;None;None;None;Tbio
ARID3A;310;475;445;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
TGIF1;312;372;549;Type 2 Diabetes Mellitus;127;Yes;None;Anti-Longevity;None;None;Tbio
PROP1;313;505;517;Type 2 Diabetes Mellitus;62;Yes;Anti-Longevity;None;None;None;Tbio
IRF8;313;147;520;Cancer;407;Yes;None;None;None;None;Tbio
CREB3L2;313;141;526;Cancer;407;Yes;None;None;None;None;Tbio
KLF3;316;161;507;Cancer;407;No;None;Pro-Longevity;None;None;Tbio
ATF1;316;169;499;Cancer;407;Yes;None;None;None;Medium;Tchem
CREB5;318;318;351;Osteoarthritis;407;Yes;None;None;None;None;Tbio
MSX2;319;239;437;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
RORC;319;222;454;Cancer;407;No;None;Unclear;None;Medium;Tchem
FOSB;321;392;285;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
TBP;322;641;392;Parkinson Disease;62;Yes;None;Pro-Longevity;None;Low;Tbio
NKX2-5;322;132;546;Atherosclerosis;407;Yes;None;None;None;Medium to Low;Tbio
PURA;324;553;130;Alzheimer Disease;407;Yes;None;None;None;Low;Tbio
NCOA3;324;451;232;Osteoarthritis;407;Yes;None;None;None;Low;Tchem
CAMTA1;326;85;859;Cancer;407;Yes;None;None;None;None;Tbio
PHF20;327;566;387;Cancer;127;Yes;None;Anti-Longevity;None;None;Tbio
CREB3L1;328;160;539;Cancer;407;Yes;None;None;None;None;Tbio
ZBTB7B;329;465;237;Parkinson Disease;407;Yes;None;None;None;None;Tbio
BHLHE41;329;632;326;Chronic Obstructive Pulmonary Disease;407;Yes;None;None;None;None;Tbio
SOX11;329;192;510;Cancer;407;Yes;None;None;None;None;Tbio
FOSL2;332;292;413;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
POU2F2;333;599;372;Alzheimer Disease;127;Yes;None;Anti-Longevity;None;Low;Tbio
CEBPD;334;511;461;Cancer;127;Yes;Unclear;None;None;None;Tbio
MAX;335;116;860;Cancer;127;Yes;None;Anti-Longevity;None;None;Tbio
DPF3;336;345;376;Age-Related Macular Degeneration;407;Yes;None;None;None;None;Tbio
BARHL2;337;355;369;Alzheimer Disease;127;Yes;None;None;None;None;Tbio
SMAD1;337;541;538;Cancer;407;Yes;None;None;Unclear;None;Tbio
NR1I3;339;524;457;Non-Alcoholic Fatty Liver Disease;127;Yes;None;Unclear;None;Medium;Tchem
NKX6-1;340;767;236;Type 2 Diabetes Mellitus;127;Yes;None;Pro-Longevity;None;Low;Tbio
PKNOX2;341;730;373;Type 2 Diabetes Mellitus;127;Yes;None;Anti-Longevity;None;None;Tbio
HNF1A;342;5;16;Type 2 Diabetes Mellitus;1161;No;None;None;None;Low;Tbio
YBX1;343;710;301;Cancer;407;Yes;None;None;None;Low;Tbio
KLF2;344;376;380;Cancer;407;Yes;None;None;None;None;Tbio
SP3;345;398;616;Cancer;127;Yes;None;Pro-Longevity;None;Low;Tbio
LHX2;346;712;306;Type 2 Diabetes Mellitus;127;Yes;None;Pro-Longevity;None;Low;Tbio
JAZF1;347;33;5;Type 2 Diabetes Mellitus;127;No;None;None;None;None;Tbio
ZNF608;347;338;430;Parkinson Disease;127;Yes;None;None;None;None;Tbio
KLF15;347;583;441;Heart Failure;407;Yes;None;Pro-Longevity;None;None;Tbio
SP9;347;662;362;Type 2 Diabetes Mellitus;1161;Yes;None;Pro-Longevity;None;None;Tdark
ESRRG;351;323;448;Cancer;1161;Yes;None;None;None;Medium;Tchem
HOXC4;352;382;647;Cancer;127;Yes;None;None;None;Low;Tbio
HLX;353;163;869;Cancer;127;Yes;None;None;None;None;Tbio
NR2E3;354;352;429;Age-Related Macular Degeneration;407;Yes;None;None;None;Low;Tchem
DACH1;355;265;519;Cancer;407;Yes;None;None;None;None;Tbio
IRF4;356;27;33;Cancer;407;No;None;None;None;None;Tbio
TBX21;356;310;480;Cancer;1161;Yes;None;None;None;Low;Tbio
NFIX;358;305;488;Osteoarthritis;407;No;None;Pro-Longevity;None;None;Tbio
ELF4;358;175;618;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
ELK3;360;664;487;Age-Related Macular Degeneration;62;Yes;None;Pro-Longevity;None;Medium to Low;Tbio
NCOA1;360;191;605;Alzheimer Disease;407;No;None;Pro-Longevity;None;Low;Tchem
DLX3;362;743;415;Alzheimer Disease;62;Yes;None;None;None;Medium to Low;Tbio
FOXF2;363;526;279;Ischemic Stroke;407;Yes;None;None;None;Low;Tbio
HIF3A;364;794;374;Cancer;62;Yes;None;Unclear;Anti-Longevity;None;Tbio
ZNF268;365;834;239;Osteoarthritis;127;Yes;None;None;Anti-Longevity;None;Tbio
POU2AF1;366;156;665;Chronic Obstructive Pulmonary Disease;407;Yes;None;None;None;None;Tbio
HOXB9;367;678;147;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
GATAD2B;368;605;221;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
NANOG;369;717;465;Cancer;127;Yes;None;None;None;None;Tbio
NR1D2;369;532;551;Cancer;127;Yes;None;Unclear;None;Low;Tchem
HMG20A;371;603;225;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
EN1;372;210;621;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
POU2F1;373;638;450;Alzheimer Disease;127;Yes;None;Anti-Longevity;None;None;Tbio
MXD3;374;702;486;Cancer;62;Yes;None;Anti-Longevity;Pro-Longevity;None;Tbio
ZNF385D;375;512;323;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Low;Tdark
MYOD1;376;257;580;Cancer;407;Yes;None;None;None;Low;Tbio
ZNF799;377;782;319;Type 2 Diabetes Mellitus;127;Yes;None;None;Anti-Longevity;None;Tdark
MEIS2;378;428;779;Cancer;127;Yes;None;Anti-Longevity;None;None;Tbio
ZNF423;379;166;688;Parkinson Disease;407;Yes;None;None;None;Low;Tbio
TFAP2B;380;88;37;Type 2 Diabetes Mellitus;1161;No;None;None;None;None;Tbio
ESRRA;381;755;357;Cancer;127;Yes;None;Unclear;None;Medium;Tchem
FOXN3;382;441;422;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
NFATC3;382;391;472;Chronic Obstructive Pulmonary Disease;407;Yes;None;None;None;None;Tbio
GTF3A;384;640;481;Alzheimer Disease;127;Yes;None;Pro-Longevity;None;None;Tbio
IRX2;385;502;365;Age-Related Hearing Impairment;407;Yes;None;None;None;None;Tbio
DLX5;386;351;518;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
HSF4;387;369;761;Ischemic Stroke;127;Yes;None;Pro-Longevity;None;None;Tbio
KIN;388;694;181;Parkinson Disease;407;No;None;Pro-Longevity;None;None;Tbio
CRX;389;293;587;Age-Related Macular Degeneration;407;No;None;Pro-Longevity;None;None;Tbio
HIVEP3;390;290;591;Osteoporosis;407;Yes;None;None;None;None;Tbio
IRX3;391;319;563;Osteoarthritis;407;Yes;None;None;None;None;Tbio
SIM1;392;364;780;Type 2 Diabetes Mellitus;127;No;None;Unclear;Anti-Longevity;None;Tbio
CPEB1;393;604;640;Cancer;127;Yes;None;None;None;None;Tbio
PRDM9;394;378;513;Cancer;407;No;None;None;Anti-Longevity;None;Tbio
NFE2;395;252;896;Cancer;127;Yes;None;Pro-Longevity;None;Low;Tchem
KLF9;396;489;407;Myocardial Infarction;407;Yes;None;None;None;Medium to Low;Tbio
GRHL2;397;404;493;Cancer;127;Yes;None;None;None;None;Tbio
SOX21;397;455;698;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
HNF1B;399;150;18;Type 2 Diabetes Mellitus;1161;No;None;None;None;Low;Tbio
CUX2;400;152;22;Ischemic Stroke;1161;No;None;None;None;Low;Tbio
DMRTA1;401;497;416;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
SPZ1;402;636;278;Cancer;407;Yes;None;None;None;None;Tbio
ZNF143;403;648;523;Chronic Obstructive Pulmonary Disease;127;Yes;None;Pro-Longevity;None;None;Tbio
SOX17;403;255;660;Cancer;407;Yes;None;None;None;None;Tbio
ZNF385B;405;601;317;Age-Related Macular Degeneration;407;Yes;None;None;None;None;Tbio
PBX4;406;454;721;Cancer;127;Yes;None;Pro-Longevity;None;None;Tbio
FOXD2;407;386;534;Cancer;407;Yes;None;None;None;None;Tbio
RBCK1;408;620;303;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
STAT2;409;602;578;Cancer;127;Yes;None;None;Pro-Longevity;Low;Tbio
ATOH8;410;807;120;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
HOXA13;410;96;831;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
FOXF1;412;343;585;Osteoporosis;407;Yes;None;None;None;Low;Tbio
SRF;413;908;384;Cancer;127;Yes;None;None;None;None;Tbio
SPDEF;414;650;547;Chronic Obstructive Pulmonary Disease;127;No;None;Anti-Longevity;None;None;Tbio
ATF2;415;689;509;Cancer;127;Yes;None;None;None;Low;Tbio
MTF1;416;810;494;Cancer;62;Yes;None;None;Pro-Longevity;Low;Tbio
ZIC2;417;405;545;Cancer;62;Yes;None;None;None;None;Tbio
ELK1;417;671;634;Alzheimer Disease;127;Yes;None;None;None;Medium to Low;Tbio
ZNF148;417;549;756;Cancer;127;Yes;None;None;None;None;Tbio
ELK4;417;291;915;Alzheimer Disease;127;Yes;None;Pro-Longevity;None;Medium to Low;Tbio
ZNF169;417;779;427;Type 2 Diabetes Mellitus;407;Yes;None;None;Anti-Longevity;None;Tdark
ASCL1;422;403;548;Alzheimer Disease;407;Yes;None;None;None;Medium to Low;Tbio
HOXC6;423;448;504;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Medium to Low;Tbio
EMX2;424;320;890;Cancer;127;Yes;None;Pro-Longevity;None;Medium to Low;Tbio
ZNF229;424;356;854;Parkinson Disease;127;Yes;None;None;Anti-Longevity;None;Tdark
NR5A1;426;298;913;Cancer;127;Yes;None;Pro-Longevity;None;Low;Tchem
IRF6;427;325;631;Cancer;407;Yes;None;None;None;Low;Tbio
NKX2-2;428;738;478;Type 2 Diabetes Mellitus;127;Yes;None;Anti-Longevity;None;None;Tbio
TBX5;429;154;77;Chronic Obstructive Pulmonary Disease;407;No;None;None;None;None;Tbio
E2F2;429;367;594;Cancer;407;Yes;None;None;None;Medium;Tbio
CXXC5;429;307;654;Cancer;1161;Yes;None;None;None;None;Tbio
HESX1;432;573;648;Heart Failure;127;Yes;None;None;None;None;Tbio
ZNF521;433;101;865;Cancer;407;Yes;None;None;None;None;Tbio
LIN28B;434;354;613;Cancer;407;No;None;Anti-Longevity;None;None;Tbio
NCOA2;435;115;853;Heart Failure;407;Yes;None;None;None;Low;Tbio
AKAP8L;436;848;124;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
ARHGAP35;437;137;837;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
E2F4;438;591;643;Alzheimer Disease;127;Yes;None;Anti-Longevity;None;Medium;Tbio
OLIG2;439;329;662;Ischemic Stroke;407;Yes;None;None;None;None;Tbio
FOXA3;440;733;623;Cancer;62;Yes;None;Pro-Longevity;Pro-Longevity;Medium to Low;Tbio
LHX9;440;472;785;Chronic Obstructive Pulmonary Disease;127;Yes;None;Pro-Longevity;None;None;Tbio
SREBF2;442;680;322;Non-Alcoholic Fatty Liver Disease;407;Yes;None;None;None;Low;Tchem
NR2C1;443;819;186;Alzheimer Disease;407;Yes;None;None;None;Low;Tbio
MEOX1;444;482;882;Cancer;127;Yes;None;None;None;None;Tbio
ZNF700;445;1036;234;Alzheimer Disease;127;Yes;None;None;Anti-Longevity;None;Tdark
E2F7;446;478;892;Cancer;127;Yes;None;None;None;Medium;Tbio
PAX3;447;65;953;Cancer;407;Yes;None;None;None;None;Tbio
SOX1;448;719;658;Cancer;127;Yes;None;None;None;None;Tbio
HINFP;449;911;118;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
HES4;449;896;133;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
LIN28A;451;534;496;Cancer;407;No;None;Anti-Longevity;None;None;Tbio
HOXA5;452;491;542;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
SOX10;453;282;753;Cancer;407;Yes;None;None;None;Low;Tbio
HEY1;454;353;683;Cancer;407;Yes;None;None;None;None;Tbio
SMAD9;455;588;705;Cancer;127;Yes;None;None;Unclear;None;Tbio
FEZF1;456;575;464;Osteoarthritis;407;Yes;None;None;None;None;Tbio
PHOX2A;457;856;185;Alzheimer Disease;407;Yes;None;None;None;Medium to Low;Tbio
IKZF3;457;122;919;Cancer;407;Yes;None;None;None;Low;Tbio
ADNP;459;544;498;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
MYT1;460;768;532;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Low;Tchem
ZNF84;461;1090;211;Alzheimer Disease;127;Yes;None;None;Anti-Longevity;None;Tdark
GRHL1;462;528;881;Cancer;62;Yes;Unclear;Pro-Longevity;None;None;Tbio
MLXIP;463;443;968;Type 2 Diabetes Mellitus;62;Yes;None;Pro-Longevity;None;None;Tbio
FOXD3;464;699;358;Non-Alcoholic Fatty Liver Disease;407;Yes;None;None;None;None;Tbio
E2F8;464;587;470;Osteoarthritis;407;Yes;None;None;None;Medium;Tbio
GBX2;466;658;400;Alzheimer Disease;407;Yes;None;None;None;Medium to Low;Tbio
SKIL;467;774;541;Cancer;127;Yes;None;Pro-Longevity;None;None;Tbio
MEF2D;468;494;568;Parkinson Disease;407;Yes;None;None;None;None;Tbio
EHF;469;695;754;Cancer;62;Yes;None;Pro-Longevity;None;Low;Tbio
ZNF827;470;300;34;Alzheimer Disease;1161;No;None;None;None;None;Tbio
TSHZ3;471;273;67;Benign Prostatic Hyperplasia;407;No;None;None;None;None;Tbio
CXXC1;471;965;105;Alzheimer Disease;1161;Yes;None;None;None;None;Tbio
PBX2;473;1155;179;Alzheimer Disease;127;Yes;None;Pro-Longevity;None;None;Tbio
SKOR1;474;551;530;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
MBNL2;475;513;570;Cancer;127;Yes;None;None;None;None;Tbio
CENPA;475;821;617;Cancer;407;Yes;None;None;None;None;Tbio
TET3;477;501;583;Cancer;407;Yes;None;None;None;None;Tbio
HIVEP1;477;311;1029;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
NKX2-3;479;207;148;Alzheimer Disease;1161;No;None;None;None;None;Tbio
BPTF;480;240;119;Type 2 Diabetes Mellitus;1161;No;None;None;None;Low;Tchem
ZBTB17;481;859;231;Heart Failure;407;Yes;None;None;None;None;Tbio
KLF12;482;195;897;Cancer;407;No;None;Pro-Longevity;None;None;Tbio
HOXD13;483;54;312;Chronic Obstructive Pulmonary Disease;407;No;None;None;None;Medium to Low;Tbio
TCF7;483;390;706;Cancer;407;Yes;None;None;None;None;Tbio
SMYD3;483;685;411;Cancer;1161;Yes;None;None;None;Low;Tchem
SIX3;486;213;158;Type 2 Diabetes Mellitus;1161;No;None;None;None;None;Tbio
VEZF1;487;989;116;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
ESRRB;488;725;737;Cancer;127;Yes;None;Unclear;None;Medium;Tchem
KMT2B;489;286;92;Alzheimer Disease;1161;No;None;None;None;None;Tbio
PLAG1;490;111;268;Cancer;1161;No;None;None;None;None;Tbio
ZNF227;491;1149;226;Alzheimer Disease;127;Yes;None;None;Anti-Longevity;None;Tdark
PURG;492;711;409;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
EBF3;493;393;729;Cancer;1161;Yes;None;None;None;None;Tbio
GLIS2;494;495;986;Cancer;62;Yes;None;None;Pro-Longevity;None;Tbio
FOXL2;495;196;931;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
ZNF337;496;612;773;Cancer;127;Yes;None;None;Anti-Longevity;None;Tdark
POU3F3;497;313;817;Cancer;407;Yes;None;None;None;None;Tbio
ZNF318;498;459;673;Age-Related Hearing Impairment;407;Yes;None;None;None;None;Tbio
SLC2A4RG;499;597;536;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
FOXE1;500;399;736;Cancer;407;Yes;None;None;None;None;Tbio
KLF13;500;280;855;Cancer;407;Yes;None;None;None;None;Tbio
TBX6;502;406;731;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
HOXC13;503;233;908;Cancer;407;Yes;None;None;None;Low;Tbio
TEAD4;504;967;432;Benign Prostatic Hyperplasia;407;Yes;None;None;None;Medium;Tchem
HOXD11;505;171;974;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
MGA;506;582;565;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
KLF16;507;606;543;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
VSX2;508;384;766;Age-Related Macular Degeneration;407;No;None;Pro-Longevity;None;None;Tbio
ZNF512;509;531;620;Type 2 Diabetes Mellitus;62;Yes;None;None;None;None;Tbio
PKNOX1;509;728;679;Type 2 Diabetes Mellitus;127;No;None;Anti-Longevity;None;None;Tbio
SIM2;509;644;862;Cancer;407;Yes;None;Unclear;Anti-Longevity;None;Tbio
ZNF763;512;957;195;Parkinson Disease;407;Yes;None;None;None;None;Tdark
ZNF641;512;714;438;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tdark
KLF8;514;808;345;Type 2 Diabetes Mellitus;407;No;None;Pro-Longevity;None;None;Tbio
POU4F1;515;519;641;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
MTF2;516;550;611;Parkinson Disease;407;Yes;None;None;None;None;Tbio
EVX2;517;296;144;Alzheimer Disease;1161;No;None;None;None;None;Tbio
FOXD1;518;823;606;Cancer;407;Yes;None;None;None;None;Tbio
MSX1;518;349;824;Cancer;407;Yes;None;None;None;None;Tbio
ZIC1;520;331;848;Osteoporosis;407;Yes;None;None;None;None;Tbio
ZNF619;521;977;206;Alzheimer Disease;407;Yes;None;None;None;None;Tdark
MYSM1;522;731;710;Cancer;127;Yes;None;Pro-Longevity;None;None;Tbio
CIC;523;100;1087;Cancer;407;Yes;None;None;None;Low;Tbio
ATOH1;524;718;474;Cancer;407;No;None;Anti-Longevity;None;None;Tbio
GFI1B;525;285;182;Alzheimer Disease;407;No;None;None;None;None;Tbio
CTCFL;525;613;584;Cancer;1161;Yes;None;None;None;None;Tbio
FOXK2;527;626;572;Cancer;407;Yes;None;None;None;None;Tbio
MYBL1;528;456;748;Cancer;407;Yes;None;None;None;None;Tbio
KLF17;529;1030;175;Alzheimer Disease;407;No;None;Pro-Longevity;None;None;Tbio
ZXDA;530;849;614;Type 2 Diabetes Mellitus;127;Yes;None;Pro-Longevity;None;None;Tbio
PAX9;531;225;257;Osteoarthritis;407;No;None;None;None;None;Tbio
THAP1;531;744;468;Alzheimer Disease;1161;Yes;None;None;None;None;Tbio
ZNF236;533;842;375;Type 2 Diabetes Mellitus;127;Yes;None;None;None;None;Tbio
POU2F3;533;875;598;Myocardial Infarction;407;Yes;None;Anti-Longevity;None;None;Tbio
ARNTL2;535;1070;503;Cancer;62;Yes;Pro-Longevity;Pro-Longevity;None;None;Tbio
YBX3;536;592;627;Cancer;407;Yes;None;None;None;None;Tbio
SMAD5;537;840;735;Cancer;127;Yes;None;None;Unclear;None;Tbio
SALL2;538;802;680;Cancer;127;Yes;None;Pro-Longevity;None;None;Tbio
ZHX3;539;138;361;Type 2 Diabetes Mellitus;407;No;None;None;None;None;Tbio
GRHL3;539;563;666;Cancer;1161;Yes;None;None;None;None;Tbio
NKX3-2;541;619;612;Osteoarthritis;127;Yes;None;None;None;Medium to Low;Tbio
NME2;541;858;629;Cancer;407;Yes;None;Anti-Longevity;None;Low;Tbio
ISL1;543;295;208;Non-Alcoholic Fatty Liver Disease;407;No;None;None;None;None;Tbio
ZNF436;543;693;540;Cancer;1161;Yes;None;None;None;None;Tbio
TTF1;545;739;497;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
EOMES;545;400;836;Cancer;407;Yes;None;None;None;Low;Tbio
EBF2;547;259;250;Type 2 Diabetes Mellitus;1161;No;None;None;None;None;Tbio
MXD1;548;846;802;Chronic Obstructive Pulmonary Disease;25;Yes;None;Unclear;Unclear;None;Tbio
POU3F4;549;554;689;Cancer;407;Yes;None;None;None;None;Tbio
SIX5;549;431;812;Chronic Obstructive Pulmonary Disease;407;Yes;None;None;None;None;Tbio
ZBTB4;551;778;469;Benign Prostatic Hyperplasia;62;Yes;None;None;None;Low;Tbio
TOPORS;551;741;861;Alzheimer Disease;407;Yes;Pro-Longevity;None;None;None;Tbio
ZNF680;553;837;414;Alzheimer Disease;407;Yes;None;None;None;None;Tdark
ZBED3;554;933;321;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
GTF2B;554;578;676;Age-Related Hearing Impairment;407;Yes;None;None;None;Medium to Low;Tbio
CREM;554;555;699;Cancer;407;Yes;None;None;None;None;Tbio
FOXK1;557;481;45;Alzheimer Disease;127;No;None;None;None;None;Tbio
PLSCR1;557;761;751;Osteoarthritis;1161;Yes;None;Anti-Longevity;None;None;Tbio
ZNF536;559;421;841;Cancer;407;Yes;None;None;None;None;Tbio
RXRG;560;446;88;Alzheimer Disease;1161;No;None;None;None;High;Tclin
POU3F2;561;515;750;Cancer;407;Yes;None;None;None;None;Tbio
L3MBTL1;562;923;343;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Low;Tchem
PRRX2;563;1045;224;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
PAX5;564;79;463;Type 2 Diabetes Mellitus;1161;No;None;None;None;Low;Tbio
ELF1;565;449;832;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
ETV7;566;853;685;Osteoarthritis;127;Yes;None;Pro-Longevity;None;None;Tbio
TEF;567;322;963;Parkinson Disease;407;Yes;None;None;None;None;Tbio
ZNF714;568;1231;311;Type 2 Diabetes Mellitus;127;Yes;None;None;Anti-Longevity;None;Tdark
ZBTB18;569;686;601;Cancer;407;Yes;None;None;None;None;Tbio
PRDM6;570;413;877;Ischemic Stroke;407;Yes;None;None;None;None;Tbio
SON;571;488;73;Alzheimer Disease;407;No;None;None;None;None;Tbio
SP7;571;649;642;Osteoporosis;1161;Yes;None;None;None;Low;Tbio
ZNF408;573;681;867;Chronic Obstructive Pulmonary Disease;127;Yes;None;None;Anti-Longevity;None;Tbio
RFX7;573;595;697;Cancer;407;Yes;None;None;None;None;Tdark
ZNF331;575;238;1055;Cancer;407;Yes;None;None;None;None;Tbio
HOXD9;576;535;760;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
PROX2;577;980;316;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
ZNF429;578;304;993;Cancer;407;No;None;None;Anti-Longevity;None;Tdark
TBX18;579;426;873;Ischemic Stroke;407;Yes;None;None;None;None;Tbio
SPIB;580;687;619;Cancer;407;No;None;Anti-Longevity;None;None;Tbio
POU3F1;581;627;938;Cancer;407;Yes;None;None;None;None;Tbio
THAP3;582;826;484;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tdark
BBX;583;324;988;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
EGR4;584;614;701;Cancer;127;Yes;None;None;None;Medium to Low;Tbio
HOXB7;584;816;755;Cancer;407;Yes;None;None;None;None;Tbio
ZFX;586;861;455;Osteoarthritis;1161;Yes;None;None;None;None;Tbio
FOXL1;587;415;903;Cancer;407;Yes;None;None;None;None;Tbio
ZFP91;588;898;425;Heart Failure;407;Yes;None;None;None;None;Tbio
TLX1;589;275;1050;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
ZNF239;590;1042;286;Myocardial Infarction;407;Yes;None;None;None;None;Tbio
CGGBP1;591;931;656;Type 2 Diabetes Mellitus;127;Yes;None;None;None;None;Tbio
IRX4;591;503;828;Cancer;407;Yes;None;None;None;None;Tbio
CREB3L3;593;508;95;Alzheimer Disease;407;No;None;None;None;None;Tbio
TEAD3;593;707;626;Non-Alcoholic Fatty Liver Disease;1161;Yes;None;None;None;None;Tbio
HOXC8;595;516;821;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
LHX5;596;888;451;Chronic Obstructive Pulmonary Disease;407;No;None;Pro-Longevity;None;None;Tbio
CBX2;597;716;630;Cancer;407;Yes;None;None;None;Low;Tchem
ZNF615;597;1130;216;Alzheimer Disease;407;No;None;None;Anti-Longevity;None;Tdark
ZBTB40;599;424;193;Alzheimer Disease;1161;No;None;None;None;None;Tbio
ZNF831;600;271;347;Chronic Obstructive Pulmonary Disease;1161;No;None;None;None;None;Tdark
FOXO6;601;594;759;Cancer;407;Yes;None;None;None;None;Tbio
PLAGL1;602;623;740;Cancer;407;Yes;None;None;None;Low;Tbio
SOX30;602;537;826;Cancer;407;Yes;None;None;None;None;Tbio
NR2F6;604;758;607;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
ZFAT;605;223;1143;Type 2 Diabetes Mellitus;407;No;None;Pro-Longevity;None;None;Tbio
OTX1;606;653;971;Cancer;127;Yes;None;Pro-Longevity;None;None;Tbio
LMX1A;607;306;333;Age-Related Hearing Impairment;407;No;None;None;None;None;Tbio
ZBTB7C;607;645;724;Type 2 Diabetes Mellitus;1161;Yes;None;None;None;None;Tbio
MAF1;609;1177;550;Alzheimer Disease;62;No;Anti-Longevity;Anti-Longevity;Pro-Longevity;None;Tbio
SP140;610;522;851;Cancer;407;Yes;None;None;None;None;Tbio
OSR1;611;350;294;Alzheimer Disease;1161;No;None;None;None;Low;Tchem
ZNF280D;612;722;655;Benign Prostatic Hyperplasia;407;Yes;None;None;None;None;Tdark
ZNF585B;613;1021;359;Alzheimer Disease;407;Yes;None;None;None;None;Tdark
USF1;614;872;511;Atherosclerosis;407;Yes;None;None;None;None;Tbio
ZNF813;615;1209;177;Alzheimer Disease;407;No;None;None;Anti-Longevity;None;Tdark
TRERF1;616;750;637;Alzheimer Disease;407;Yes;None;None;None;None;Tbio
ZNF100;617;986;412;Type 2 Diabetes Mellitus;407;Yes;None;None;None;Low;Tdark
ZNF503;618;811;593;Type 2 Diabetes Mellitus;407;Yes;None;None;None;None;Tbio
HOXD10;619;635;771;Cancer;407;Yes;None;None;None;Medium to Low;Tbio
DMBX1;620;523;157;Alzheimer Disease;407;No;None;None;None;None;Tbio
